"fecha","ciudad","count","lig","pro","des","desp","durs","durw","sno","ttotal"
"2019-06-10","Europe/Madrid",67,14220,12360,1680,3,300,0,0,26580
"2019-06-11","Europe/Madrid",4,12480,18540,2880,1,1620,660,0,31020
"2019-06-12","Europe/Madrid",36,12240,11220,2220,3,360,0,0,23460
"2019-06-17","Europe/Madrid",13,18300,10200,1200,2,360,60,0,28500
"2019-06-18","Europe/Madrid",15,8640,10500,840,0,360,480,0,19140
"2019-06-19","Europe/Madrid",62,11160,11880,3000,4,360,60,0,23040
"2019-06-23","Europe/Madrid",49,11760,9780,1080,3,60,0,0,21540
"2019-06-28","Europe/Madrid",10,6000,4380,0,0,0,0,0,10380
"2019-07-17","Europe/Amsterdam",57,9540,11460,1980,2,360,0,0,21000
"2019-07-18","Europe/Amsterdam",4,10320,13740,2940,5,480,240,0,24060
"2019-07-21","Europe/Amsterdam",17,10679,4080,181,0,61,120,0,14759
"2019-07-21","Europe/Amsterdam",17,12419,13980,4381,5,781,0,0,26399
"2019-07-23","Europe/Amsterdam",18,13800,14220,1080,0,840,240,0,28020
"2019-07-24","Europe/Amsterdam",30,12480,11220,2220,4,360,0,0,23700
"2019-07-26","Europe/Amsterdam",59,14700,14460,1620,3,60,0,0,29160
"2019-08-10","Europe/Madrid",34,9840,15420,2220,2,360,0,0,25260
"2019-08-12","Europe/Madrid",18.1333333333333,15420,11340,960,1,180,0,0,26760
"2019-08-13","Europe/Madrid",13.3166666666667,17640,15360,1200,2,300,240,0,33000
"2019-08-15","Europe/Amsterdam",17,11880,15720,1320,2,0,240,0,27600
"2019-08-19","Europe/Amsterdam",36,15540,10560,960,1,0,0,0,26100
"2019-08-20","Europe/Amsterdam",5,12420,13080,1740,3,300,300,0,25500
"2019-08-21","Europe/Amsterdam",19,9900,9660,120,0,0,120,0,19560
"2019-08-22","Europe/Amsterdam",36,15240,12780,4200,5,0,0,0,28020
"2019-08-23","Europe/Amsterdam",20,9780,12300,1860,2,360,0,0,22080
"2019-08-26","Europe/Amsterdam",48,17220,11460,2760,3,0,180,0,28680
"2019-08-29","Europe/Amsterdam",30,17399,7740,2101,3,360,300,0,25139
"2019-08-30","Europe/Amsterdam",77,13380,10920,1740,3,360,0,0,24300
"2019-09-01","Europe/Amsterdam",9,12660,10020,1020,1,0,540,0,22680
"2019-09-02","Europe/Amsterdam",19,12000,13560,660,0,0,660,0,25560
"2019-09-03","Europe/Amsterdam",20,14520,12000,1320,2,0,360,0,26520
"2019-09-04","Europe/Amsterdam",7,9840,15180,960,1,0,180,0,25020
"2019-09-16","Europe/Madrid",42,10440,8040,1680,2,360,60,0,18480
"2019-09-16","Europe/Madrid",42,15780,13800,3840,5,0,120,0,29580
"2019-09-17","Europe/Madrid",49,13980,15540,420,0,360,60,0,29520
"2019-09-18","Europe/Madrid",44,9901,12479,4080,2,2580,0,0,22380
"2019-09-20","Europe/Amsterdam",117,19260,16500,3900,4,360,300,0,35760
"2019-09-21","Europe/Madrid",31,12300,9420,1440,3,360,0,0,21720
"2019-09-23","Europe/Madrid",12,14640,15600,2160,3,660,0,0,30240
"2019-09-25","Europe/Amsterdam",26,14640,12000,2160,0,1740,420,0,26640
"2019-09-28","Europe/Amsterdam",26,17160,8220,720,1,120,0,0,25380
