"","Name","Frequency"
"1245","ELYSSA",7
"1246","EMILEE",7
"1247","EMMALYN",7
"1248","ESRA",7
"1249","EVALYN",7
"1250","EVANA",7
"1251","EVANGELINA",7
"1252","EVELYNE",7
"1253","GELILA",7
"1254","GUNEET",7
"1255","HARLYNN",7
"1256","ILYANA",7
"1257","IMAAN",7
"1258","INARA",7
"1259","ISABELL",7
"1260","JAPNEET",7
"1261","JEMIMA",7
"1262","JORDANA",7
"1263","JOVANA",7
"1264","JUDE",7
"1265","JUSTINA",7
"1266","KAILYN",7
"1267","KAMILA",7
"1268","KARLA",7
"1269","KAYLYN",7
"1270","KYLEIGH",7
"1271","LIELLE",7
"1272","LILIANE",7
"1273","LILLIE",7
"1274","LILY-ANN",7
"1275","LOVINA",7
"1276","MAGALIE",7
"1277","MAGNOLIA",7
"1278","MAHA",7
"1279","MAHEEN",7
"1280","MALIYA",7
"1281","MANDY",7
"1282","MARIANNA",7
"1283","MARISA",7
"1284","MARLOW",7
"1285","MATTEA",7
"1286","MAYAH",7
"1287","MEHER",7
"1288","MELANIA",7
"1289","MELODIE",7
"1290","NAIA",7
"1291","NAIYA",7
"1292","NAVA",7
"1293","NIKITA",7
"1294","NIYA",7
"1295","NYRA",7
"1296","ORLY",7
"1297","PHILIPPA",7
"1298","PORTIA",7
"1299","PRINCESS",7
"1300","RAINE",7
"1301","REIGN",7
"1302","RUBANI",7
"1303","SABINA",7
"1304","SAHARA",7
"1305","SAIRA",7
"1306","SALWA",7
"1307","SAMAR",7
"1308","SAMIA",7
"1309","SANIA",7
"1310","SAVANAH",7
"1311","SCOTLYN",7
"1312","SCOTTIE",7
"1313","SELENE",7
"1314","SERAFINA",7
"1315","SERAPHINA",7
"1316","SHAE",7
"1317","SHAELYN",7
"1318","TABITHA",7
"1319","TALIYAH",7
"1320","TASNEEM",7
"1321","TEGAN",7
"1322","TESS",7
"1323","VIOLA",7
"1324","VIRGINIA",7
"1325","WAVERLY",7
"1326","YVONNE",7
"1327","ZADIE",7
"1328","ZAIRA",7
"1329","ZEHRA",7
"1330","AARIYAH",6
"1331","AARNA",6
"1332","AAROHI",6
"1333","AARUSHI",6
"1334","AAVYA",6
"1335","ADORA",6
"1336","ALAIA",6
"1337","ALESHA",6
"1338","ALESSA",6
"1339","ALEX",6
"1340","ALI",6
"1341","ALYSHA",6
"1342","AMARIS",6
"1343","ANAÏS",6
"1344","ARIELA",6
"1345","ARINA",6
"1346","ARTEMIS",6
"1347","AURÉLIE",6
"1348","AVELYN",6
"1349","AYSHA",6
"1350","BABY",6
"1351","BARBARA",6
"1352","BATOOL",6
"1353","BREE",6
"1354","BRENDA",6
"1355","BRISTOL",6
"1356","CAROL",6
"1357","CIANNA",6
"1358","CORAL",6
"1359","CRISTINA",6
"1360","DALLAS",6
"1361","DEVINA",6
"1362","DEVYN",6
"1363","DUAA",6
"1364","DUNYA",6
"1365","EESHA",6
"1366","ELA",6
"1367","ELEANORA",6
"1368","ELIF",6
"1369","ELOWEN",6
"1370","ELOWYN",6
"1371","ELYSIA",6
"1372","ESHAL",6
"1373","ESTELLA",6
"1374","EVALINA",6
"1375","ÈVE",6
"1376","FATMA",6
"1377","FREYJA",6
"1378","GENEVA",6
"1379","GENEVIÈVE",6
"1380","GIANA",6
"1381","GRETCHEN",6
"1382","GUINEVERE",6
"1383","GUREET",6
"1384","HABIBA",6
"1385","HAJAR",6
"1386","HANAN",6
"1387","HARGUN",6
"1388","HARLEIGH",6
"1389","HAVANA",6
"1390","HEAVENLY",6
"1391","HENSLEY",6
"1392","HILARY",6
"1393","INAAYAH",6
"1394","INDIE",6
"1395","ISABELA",6
"1396","IVANA",6
"1397","IZABEL",6
"1398","JAELYN",6
"1399","JANAYA",6
"1400","JAPLEEN",6
"1401","JAPNOOR",6
"1402","JAYNA",6
"1403","JAZMYN",6
"1404","JEANNE",6
"1405","JELENA",6
"1406","JENNAH",6
"1407","JENNY",6
"1408","JEWEL",6
"1409","JOSSLYN",6
"1410","JOURNEY",6
"1411","JUSTICE",6
"1412","KAELYNN",6
"1413","KAHLAN",6
"1414","KAI",6
"1415","KAIRA",6
"1416","KAIYAH",6
"1417","KALINA",6
"1418","KALISTA",6
"1419","KARLIE",6
"1420","KARMA",6
"1421","KATHY",6
"1422","KEERAT",6
"1423","KENZI",6
"1424","KEREN",6
"1425","KHALEESI",6
"1426","KIANNA",6
"1427","KIERRA",6
"1428","KIMIA",6
"1429","KIYAH",6
"1430","KYRAH",6
"1431","LAILAH",6
"1432","LARISSA",6
"1433","LAUREL",6
"1434","LAYA",6
"1435","LAYAL",6
"1436","LENNYN",6
"1437","LILYANA",6
"1438","LINDSEY",6
"1439","LORRAINE",6
"1440","LUX",6
"1441","MADALYN",6
"1442","MAELLE",6
"1443","MAHI",6
"1444","MAIYA",6
"1445","MANAL",6
"1446","MAPLE",6
"1447","MARCELLA",6
"1448","MARGAUX",6
"1449","MARGO",6
"1450","MARIKA",6
"1451","MARLA",6
"1452","MAX",6
"1453","MAY",6
"1454","MAYAR",6
"1455","MELINDA",6
"1456","MILLA",6
"1457","MINERVA",6
"1458","MINHA",6
"1459","MINNA",6
"1460","MINSA",6
"1461","MOLLIE",6
"1462","MURPHY",6
"1463","NAIRA",6
"1464","NAVY",6
"1465","NICOLA",6
"1466","NIKOLINA",6
"1467","NIMRIT",6
"1468","NOURA",6
"1469","NURA",6
"1470","ODESSA",6
"1471","ORLA",6
"1472","RABIA",6
"1473","RAIN",6
"1474","RANA",6
"1475","RAPHAËLLE",6
"1476","RAYYAN",6
"1477","REGAN",6
"1478","REGINA",6
"1479","RIDA",6
"1480","RILEIGH",6
"1481","RILYNN",6
"1482","ROSALIA",6
"1483","ROSEMARIE",6
"1484","RYLYNN",6
"1485","SABA",6
"1486","SALEM",6
"1487","SALLY",6
"1488","SAMAYA",6
"1489","SAPPHIRE",6
"1490","SARAI",6
"1491","SARAYA",6
"1492","SAVERA",6
"1493","SAYLOR",6
"1494","SEERIT",6
"1495","SHEA",6
"1496","SILVER",6
"1497","SIYANA",6
"1498","SKY",6
"1499","SOHA",6
"1500","SONIA",6
"1501","SUSAN",6
"1502","TAYAH",6
"1503","TAYLA",6
"1504","TEYA",6
"1505","TILLY",6
"1506","TIYA",6
"1507","TRISHA",6
"1508","VASILIKI",6
"1509","WHITNEY",6
"1510","WINONA",6
"1511","YASMINA",6
"1512","YOLANDA",6
"1513","YUNA",6
"1514","ZAARA",6
"1515","ZAHARA",6
"1516","ZAYA",6
"1517","ZUNAIRAH",6
