"","Name","Frequency"
"292","ELSIE",40
"293","HAYLEY",40
"294","JULIANA",40
"295","KIERA",40
"296","LEIA",40
"297","MARLEY",40
"298","SERENITY",40
"299","AMANDA",39
"300","AMARA",39
"301","ANYA",39
"302","CHLOÉ",39
"303","MAIA",39
"304","PHOEBE",39
"305","RAYNA",39
"306","RIYA",39
"307","TRINITY",39
"308","ARABELLA",38
"309","ELORA",38
"310","GABRIELA",38
"311","HOPE",38
"312","JACQUELINE",38
"313","JOCELYN",38
"314","KENZIE",38
"315","MAISIE",38
"316","MALIA",38
"317","TIFFANY",38
"318","ZOË",38
"319","BROOKLYNN",37
"320","DANIELLA",37
"321","DESTINY",37
"322","HANIYA",37
"323","HOLLY",37
"324","MCKENNA",37
"325","SHANAYA",37
"326","SIENA",37
"327","ADALYNN",36
"328","ARIAH",36
"329","BAILEY",36
"330","CASSIDY",36
"331","ERIN",36
"332","EVE",36
"333","FINLEY",36
"334","JENNIFER",36
"335","LÉA",36
"336","LIANA",36
"337","MELANIE",36
"338","STEPHANIE",36
"339","ALICIA",35
"340","ANNABELLA",35
"341","CADENCE",35
"342","FLORENCE",35
"343","HANA",35
"344","MILENA",35
"345","SLOAN",35
"346","HAYDEN",34
"347","MATILDA",34
"348","PARKER",34
"349","RHEA",34
"350","ALIYA",33
"351","ARIYA",33
"352","CELESTE",33
"353","DAISY",33
"354","DANA",33
"355","ELISA",33
"356","GWENDOLYN",33
"357","MAGGIE",33
"358","MAKENNA",33
"359","RAINA",33
"360","ALISHA",32
"361","ALIZA",32
"362","DAHLIA",32
"363","FELICITY",32
"364","KELLY",32
"365","KIRA",32
"366","LIVIA",32
"367","LOLA",32
"368","MARGOT",32
"369","MARIAH",32
"370","PRESLEY",32
"371","TENLEY",32
"372","ANDREA",31
"373","ANGEL",31
"374","ARIELLA",31
"375","DANIELA",31
"376","ELISABETH",31
"377","MELINA",31
"378","RYLEIGH",31
"379","AMINA",30
"380","APRIL",30
"381","BEATRICE",30
"382","CAMILLE",30
"383","CELINE",30
"384","DANICA",30
"385","EMERSON",30
"386","ERICA",30
"387","EVIE",30
"388","LOGAN",30
"389","SKYE",30
"390","ADA",29
"391","BLAKELY",29
"392","CAMILLA",29
"393","DANIKA",29
"394","HALEY",29
"395","JILLIAN",29
"396","KATRINA",29
"397","LACEY",29
"398","MELISSA",29
"399","MYAH",29
"400","PHOENIX",29
"401","SYEDA",29
"402","ALLIE",28
"403","ANNIKA",28
"404","AUDRINA",28
"405","CALI",28
"406","FRANCESCA",28
"407","HELENA",28
"408","KENDALL",28
"409","LONDON",28
"410","LUCIA",28
"411","SALMA",28
"412","SEERAT",28
"413","SIMONE",28
"414","AARYA",27
"415","ALIA",27
"416","AYA",27
"417","ESME",27
"418","HARLEY",27
"419","HARMONY",27
"420","KENDRA",27
"421","KINLEY",27
"422","LEONA",27
"423","MALLORY",27
"424","MAVIS",27
"425","NAYA",27
"426","PAISLEE",27
"427","RUTH",27
"428","SANA",27
"429","TIA",27
"430","ZOÉ",27
"431","ADELE",26
"432","ADELYNN",26
